spotId,Information,FixtureType,LCStart,LCEnd,LoadPort,DiscPort,VesselName,Charterer,Status,CargoType,CargoGrade,CargoQty,RateType,Rate,Comments,ReportDate,Source,Vesseltype
13,Market,Spot,03-08-2018,NA,scand,MED,liwa v,levantine,Fixed,NA,GO,40,NA,WS,Poss,28-9-2018 16:52,EA Gibson,ws
6,Market,Spot,13-08-2018,NA,BALTIC,thai,ACTIVE,Total,Fixed,NA,unleaded motor spirit,37,NA,WS,Null,28-9-2018 16:52,Clarksons,MR
30,Market,Spot,07-08-2018,NA,scand,UKC,idi,Exxon,Fixed,NA,ULSD,30,NA,WS,Null,28-9-2018 16:52,Clarksons,NA
40,Market,Spot,15-08-2018,NA,CEYHAN,japan,iberian sea,UML,Subs,NA,DPP,80,NA,Lumpsum,Null,28-9-2018 16:52,Essex,NA
27,Market,Spot,18-08-2018,NA,UKC,UKC,green attitude,Litasco,Fixed,NA,FO,45,NA,Null,Fxd,28-9-2018 16:52,Braemar,NA
37,Market,Spot,07-08-2018,NA,WHITEGATE,ukc-opts,marlin singapore,Irving,Fixed,NA,FO,30,NA,WS,Null,28-9-2018 16:52,EA Gibson,NA
14,Market,Spot,07-08-2018,NA,WHITEGATE,ukc-opts,marlin singapore,Irving,Fixed,NA,FO,30,NA,WS,Null,28-9-2018 16:52,EA Gibson,ws
7,Market,Spot,07-08-2018,NA,scand,UKC,idi,Exxon,Fixed,NA,ULSD,30,NA,WS,Null,28-9-2018 16:52,Clarksons,NA
24,Market,Spot,06-08-2018,NA,RIGA,UKC,sea shell,BBNAFT,Subs,NA,Naptha,30,NA,WS,Subs,28-9-2018 16:52,Braemar,ws
41,Market,Spot,13-08-2018,NA,SKIKDA,incheon,dong a thetis,Petrobras,Subs,NA,Naptha,37,NA,WS,Null,28-9-2018 16:52,Howe Robinson,NA
38,Market,Spot,10-08-2018,NA,gulf castle,cpc,AMAZON,Vitol,Fixed,NA,VGO,55,NA,WS,Null,28-9-2018 16:52,EA Gibson,Ultramax
11,Market,Spot,31-08-2018,NA,PEMBROKE,cpc,abu dhabi iii,Valero,Fixed,NA,UMS,37,NA,WS,Null,28-9-2018 16:52,EA Gibson,ws
4,Market,Spot,18-08-2018,NA,UKC,UKC,green attitude,Litasco,Fixed,NA,FO,45,NA,Null,Fxd,28-9-2018 16:52,Braemar,null
25,Market,Spot,07-08-2018,NA,scand,UKC,idi,Exxon,Subs,NA,ULSD,30,NA,WS,Subs,28-9-2018 16:52,Braemar,NA
35,Market,Spot,03-08-2018,NA,scand,MED,Atlantica,levantine,Failed,NA,GO,40,NA,WS,Change of Tech Manager,28-9-2018 16:52,EA Gibson,Ultramax
19,Market,Spot,11-08-2018,NA,SINES,cpc,breeze,BP,Subs,NA,UMS,37,NA,WS,Null,28-9-2018 16:52,Howe Robinson,ws
46,Market,Spot,09-08-2018,NA,reunion port,korea,navig8 tbn,Unipec,Subs,NA,CPP,60,NA,WS,Null,28-9-2018 16:52,SSY,NA
12,Market,Spot,03-08-2018,NA,scand,MED,Atlantica,levantine,Failed,NA,GO,40,NA,WS,Change of Tech Manager,28-9-2018 16:52,EA Gibson,Ultramax
5,Market,Spot,07-08-2018,NA,ukcm,MED,nordic tellus,ST Shipping,Fixed,NA,Ultra Low Sulphur Diesel,35,NA,WS,Null,28-9-2018 16:52,Clarksons,ws
22,Market,Spot,10-08-2018,NA,wci,batu pahat,cape balder,Shell,Fixed,NA,Jet,90,NA,Lumpsum,Null,28-9-2018 16:52,SSY,lumpsum
36,Market,Spot,03-08-2018,NA,scand,MED,liwa v,levantine,Fixed,NA,GO,40,NA,WS,Poss,28-9-2018 16:52,EA Gibson,NA
10,Market,Spot,12-08-2018,NA,south korea,MED,CHRYSALIS,Petroineos,Fixed,NA,Crude,80,NA,WS,Null,28-9-2018 16:52,Bravo Tankers,LR2
20,Market,Spot,13-08-2018,NA,SARROCH,cpc,united ambassador,SARAS,Subs,NA,UMS,37,NA,WS,Null,28-9-2018 16:52,Howe Robinson,ws
2,Market,Spot,07-08-2018,NA,scand,UKC,idi,Exxon,Subs,NA,ULSD,30,NA,WS,Subs,28-9-2018 16:52,Braemar,ws
17,Market,Spot,15-08-2018,NA,CEYHAN,japan,iberian sea,UML,Subs,NA,DPP,80,NA,Lumpsum,Null,28-9-2018 16:52,Essex,lumpsum
