Flag,VesselName,VoyageNo,EmploymentStatus,OpenPort,OpenPortDate,Cargo,RepositionPort,RepositionDate,CurrentStatus,Comments,DWT,Type,IceClass,CompleteGMT,UpdatedBy,ROWIDT,LastCargoGrade,CommenceGMT,Fkey_Dim_Vessel_Id,Fkey_Dim_Voyage_Id,Estimate,UID
NA,Hamburg Star,10,Subjects,LAGOS (NIGERIA),2019-02-10T14:30:00Z,GAS OIL/NAPHTHA/NAPHTHA,LAGOS (NIGERIA),2019-02-11,Arrived Discharge Port,NA,73869.15,LR1,N,2019-02-10T14:30:00Z,rstudio,1,CPP,2018-11-15T08:00:00Z,824,13607,1,824_1549809000
NA,STI Notting Hill,5,Unfixed,GUAYMAS,2019-02-14T08:00:00Z,ULSD 10 PPM (FAME FREE)/JET A1+ULSD 10 PPM (FAME FREE)/GASOLINE,GUAYMAS,2019-02-09,Arrived Discharge Port,NA,49990,MR,NO,2019-02-14T08:00:00Z,rstudio,2,CPP,2018-12-28T03:48:00Z,829,13937,1,829_1550131200
NA,STI Leblon,18,Unfixed,LAGOS (NIGERIA),2019-02-28T08:00:00Z,GASOLINE/REFO+GASOLINE/GASOLINE,LAGOS (NIGERIA),2019-02-09,In Laden Leg,NA,49990,MR,NO,2019-02-28T08:00:00Z,rstudio,3,CPP,2019-01-20T16:36:00Z,830,13905,1,830_1551340800
NA,CPO Malaysia,65,Unfixed,CIUDAD MADERO,2019-02-13T00:00:00Z,GASOLINE/ULSD 10 PPM+JET A1/GASOLINE+MTBE(CPP),CIUDAD MADERO,2019-02-09,Arrived Discharge Port,NA,44999,MR,No,2019-02-13T00:00:00Z,rstudio,4,CPP,2019-01-21T15:00:00Z,839,13647,1,839_1550016000
NA,STI Pontiac,46,Unfixed,ONSAN,2019-02-11T17:30:00Z,GASOLINE+GAS OIL+JET A1/GAS OIL/ETHANOL,ONSAN,2019-02-09,Prompt,NA,49990,MR,N/A,2019-02-11T17:30:00Z,rstudio,5,CPP,2019-01-23T05:00:00Z,841,13670,0,841_1548219600
NA,Excelsior Bay,52,Unfixed,ADELAIDE,2019-02-27T05:43:51Z,CPP/GASOLINE+GAS OIL/NAPHTHA,ADELAIDE,2019-02-09,Arrived Discharge Port,NA,49990,MR,NO,2019-02-27T05:43:51Z,rstudio,6,CPP,2019-01-23T21:18:00Z,842,13685,1,842_1551246231
NA,STI Aqua,48,Unfixed,MACKAY,2019-02-13T23:20:46Z,GAS OIL/GASOLINE+GAS OIL+JET A1/GAS OIL,MACKAY,2019-02-09,In Laden Leg,NA,49990,MR,NO,2019-02-13T23:20:46Z,rstudio,7,CPP,2019-01-01T07:12:00Z,845,13801,1,845_1550100046
NA,STI Battery,47,Unfixed,PANAMA CANAL,2019-02-09T21:00:00Z,ULSD 10 PPM (FAME FREE)/JET A1+ULSD 10 PPM (FAME FREE)/GASOLINE (OXY FREE)+ULSD 10 PPM (FAME FREE),PANAMA CANAL,2019-02-09,Prompt,NA,49990,MR,NO,2019-02-09T21:00:00Z,rstudio,8,CPP,2019-01-29T19:00:00Z,846,13827,0,846_1548788400
NA,STI Donald C Trauscht,14,Unfixed,ANCHORAGE,2019-02-15T15:00:00Z,JET A1/JET A1/JET A1,ANCHORAGE,2019-02-09,In Laden Leg,NA,49990,MR,NO,2019-02-15T15:00:00Z,rstudio,9,CPP,2019-01-07T23:00:00Z,847,13845,1,847_1550242800
NA,STI Texas City,32,Unfixed,ULSAN,2019-02-09T21:00:00Z,CPP/ULSD 10 PPM/GASOLINE,ULSAN,2019-02-09,Prompt,NA,49990,MR,N,2019-02-09T21:00:00Z,rstudio,10,CPP,2019-01-07T10:18:00Z,850,14004,0,850_1546856280
