Status,Vessel type,Hull No.,Type,Dwt,GT,Size,Unit,CGT,Built,Builder,Yard Status,Contract Date,Owner,Owner Group,NB Price,Currency
On Order,MR ,,Chem & Oil,"50,000",,"50,000",DWT,"24,496",2019-10,Hyundai Mipo,Established <2000,2018-Aug-03,SK Shipping,SK Holdings,,
On Order,MR ,2281,Chem & Oil,"50,000",,"50,000",DWT,"24,496",2020-,Onomichi Dockyd,Established <2000,2018-Jul-20,Nissen Kaiun,Nissen Kaiun,,
On Order,MR ,2282,Chem & Oil,"50,000",,"50,000",DWT,"24,496",2020-,Onomichi Dockyd,Established <2000,2018-Jul-20,Nissen Kaiun,Nissen Kaiun,,
On Order,MR ,2283,Chem & Oil,"50,000",,"50,000",DWT,"24,496",2019-07,Hyundai Mipo,Established <2000,2018-Jul-12,Overseas Shipholding,Overseas Shipholding,37.50,$m
On Order,MR ,2284,Chem & Oil,"50,000",,"50,000",DWT,"24,496",2019-09,Hyundai Mipo,Established <2000,2018-Jul-12,Overseas Shipholding,Overseas Shipholding,37.50,$m
On Order,MR ,2285,Chem & Oil,"40,000",,"40,000",DWT,"21,666",2019-11,Hyundai Mipo,Established <2000,2018-Jun-22,Hyproc Shipping Co.,Sonatrach Petroleum,,
On Order,MR ,2704,Chem & Oil,"50,000",,"50,000",DWT,"24,496",2020-,Samsung HI,Established <2000,2018-Jun-12,Mitsui & Co,Mitsui & Co,,
On Order,MR ,2679,Chem & Oil,"50,000",,"50,000",DWT,"24,496",2020-,Samsung HI,Established <2000,2018-Jun-12,Mitsui & Co,Mitsui & Co,,
On Order,MR ,2680,Chem & Oil,"50,000",,"50,000",DWT,"24,496",2020-,Samsung HI,Established <2000,2018-Jun-12,Mitsui & Co,Mitsui & Co,,
On Order,MR ,2681,Chem & Oil,"50,000",,"50,000",DWT,"24,496",2020-,Samsung HI,Established <2000,2018-Jun-12,Mitsui & Co,Mitsui & Co,,
On Order,MR ,2682,Chem & Oil,"50,000",,"50,000",DWT,"24,496",2020-,Samsung HI,Established <2000,2018-Jun-12,Mitsui & Co,Mitsui & Co,,
On Order,MR ,2687,Chem & Oil,"50,000",,"50,000",DWT,"24,496",2019-09,Hyundai Mipo,Established <2000,2018-May-11,Niovis Shipping Co.,Niovis Shipping Co.,,
On Order,MR ,2688,Chem & Oil,"50,000",,"50,000",DWT,"24,496",2019-06,Hyundai Mipo,Established <2000,2018-May-11,Yasa Shpg. Industry,Yasa Shpg. Industry,,
