Vessel,IMO Number,Vessel Type,CP Date,JV Partner,Period Type,Laycan From,Laycan To,Period in Months,  +/- Period Days,Delivery,Anniversary Date,Option Days,Days to Option Declaration,Earliest Re-Delivery,Latest Re-Delivery,Date for Exercising option,Redelivery,Redelivery Area,Redel Notices,Earliest Redelivery Notice,Rate,CVE per month,Add Commission,Broker Commission,Owners,Charterers,Remarks
KING DARWIN,9374856,LR1,13-Jan-15,FINFLEET 50%,FIRM,,,12,30,01-Jan-15,01-Jan-16,45,-1053,02-Dec-15,31-Jan-16,17-Nov-15,01-Jan-16,"​IF 24M : UKC/Med Range + Ag/Japan Range / IF 12M opt exercisedWorld-Wide Redelivery
It is also agreed that in case Charterers exercise the 3rd optional year, they should endeavour to position the ship in UKC/Med Range + Ag/Japan Range within March 2017 ",​15/10 Approx. 7/5/3/2/1 Def.,,"$17,200.00 ","$1,500.00 ",1.25%,1.25%,MT King Darwin Tankschiffahrts Gmbh &Co KG,Estoril Shipping Ltd,
KING DARWIN,9374856,LR1,13-Jan-15,,Option 1,,,12,30,01-Jan-16,01-Jan-17,45,-687,02-Dec-16,31-Jan-17,17-Nov-16,31-Dec-16,"​IF 24M : UKC/Med Range + Ag/Japan Range / IF 12M opt exercisedWorld-Wide Redelivery
It is also agreed that in case Charterers exercise the 3rd optional year, they should endeavour to position the ship in UKC/Med Range + Ag/Japan Range within March 2018",​15/10 Approx. 7/5/3/2/1 Def.,,"$17,400.00 ","$1,500.00 ",1.25%,1.25%,MT King Darwin Tankschiffahrts Gmbh &Co KG,Estoril Shipping Ltd,
KING DARWIN,9374856,LR1,13-Jan-15,,Option 2,,,12,30,01-Jan-17,12-Dec-18,45,23,12-Nov-18,11-Jan-19,28-Oct-18,12-Dec-18,"​IF 24M : UKC/Med Range + Ag/Japan Range / IF 12M opt exercisedWorld-Wide Redelivery
It is also agreed that in case Charterers exercise the 3rd optional year, they should endeavour to position the ship in UKC/Med Range + Ag/Japan Range within March 2019",​15/10 Approx. 7/5/3/2/1 Def.,,"$15,500.00 ","$1,500.00 ",1.25%,1.25%,MT King Darwin Tankschiffahrts Gmbh &Co KG,Estoril Shipping Ltd,
Kition M,9321160,LR1,15-Jan-18,,FIRM,25-Feb-18,25-Apr-18,1,30,14-Apr-18,14-May-18,30,-178,14-Apr-18,13-Jun-18,14-Apr-18,14-May-18,"Arriving, Passing or DLOSP 1 SP AG/Japan Range, UKC, MED, Caribs, USG, USAC in Charterer’s Option",25/20/15/10 days approx 7/5/3/2/1 days def,17-Feb-19,"$10,300.00 ", $-   ,1.25%,0%,Kition Trading SA,Estoril Shipping Ltd,
Kition M,9321160,LR1,15-Jan-18,,FIRM,,,0.5,30,14-May-18,29-May-18,30,-163,29-Apr-18,28-Jun-18,29-Apr-18,29-May-18,"Arriving, Passing or DLOSP 1 SP AG/Japan Range, UKC, MED, Caribs, USG, USAC in Charterer’s Option",25/20/15/10 days approx 7/5/3/2/1 days def,,"$11,300.00 ", $-   ,1.25%,0%,Kition Trading SA,Estoril Shipping Ltd,
Kition M,9321160,LR1,15-Jan-18,,FIRM,,,11,30,29-May-18,14-Apr-19,30,157,15-Mar-19,14-May-19,15-Mar-19,28-Apr-19,"Arriving, Passing or DLOSP 1 SP AG/Japan Range, UKC, MED, Caribs, USG, USAC in Charterer’s Option",25/20/15/10 days approx 7/5/3/2/1 days def,,"$13,300.00 ",,,,,,
LIA,9417751,LR1,23-May-18,,FIRM,15-Jul-18,31-Aug-18,12,30,07-Aug-18,07-Aug-19,45,261,08-Jul-19,06-Sep-19,23-Jun-19,07-Aug-19,"DLOSP, UKC , MED , USG, USAC, AG- Singapore Range in CHOPT",20/15/10/5 Approx. and 3/2/1 Def Days,18-Jun-19,"$13,325.00 ", $-   ,1.25%,1.25%,"Pintail BV, Amsterdam, The Netherlands",Estoril Shipping Ltd,"Hire of the optional period to be adjust to 15,000USD if actual consumptions from completion of DD till the end of the Firm period T/c,
- average laden/ballast - are 2 tons better than consumptions given at time of fixing  (periods up to and including BF 5 /DSS 4,  No adverse currents ) or USD 15,400 pdpr if - average laden/ballast - are 4 tons or above better than consumptions given at time of fixing  (periods up to and including BF 5 /DSS 4 , No adverse currents)
"
LIA,9417751,LR1,23-May-18,,Option ,,,12,30,07-Aug-19,07-Aug-20,45,627,08-Jul-20,06-Sep-20,23-Jun-20,,"DLOSP, UKC , MED , USG, USAC, AG- Singapore Range in CHOPT",20/15/10/5 Approx. and 3/2/1 Def Days,,"$14,600.00 ", $-   ,1.25%,1.25%,"Pintail BV, Amsterdam, The Netherlands",Estoril Shipping Ltd,"Hire of the optional period to be adjust to 15,000USD if actual consumptions from completion of DD till the end of the Firm period T/c,
- average laden/ballast - are 2 tons better than consumptions given at time of fixing  (periods up to and including BF 5 /DSS 4,  No adverse currents ) or USD 15,400 pdpr if - average laden/ballast - are 4 tons or above better than consumptions given at time of fixing  (periods up to and including BF 5 /DSS 4 , No adverse currents)
"
DENSA ALLIGATOR,9656890,LR2,14-Feb-17,,FIRM,,,6,30,22-Feb-17,22-Aug-17,45,-458,23-Jul-17,21-Sep-17,08-Jul-17,03-Sep-17,"ARRIVING, PASSING OR DLOSP 1SP WITHIN UKC, MED, CARIBS, USG, USAC, AG-JPN RANGE IN CHOPT",30/20/15/10/7 DAYS APPR NOT AND 5/3/2/1 DAYS DEF NOTICE OF REDEL,,"$14,360.00 ","$2,500.00 ",1.25%,0.75%,Alligator Tanker Ltd.,STI Chartering and Trading Ltd.,
DENSA ALLIGATOR,9656890,LR2,08-Feb-18,,FIRM,18-Feb-18,08-Mar-18,Min 180 -Max 360 days,30,21-Feb-18,20-Aug-18,45,-93,20-Aug-18,21-Sep-18,08-Jul-18,20-Aug-18,"​DLOSP One Safe port AG-Japan range UKC, MED, USG, Caribs, USAC",​30/20 days approximate notice of re-delivery and 15/10/5/3/2/1 days definite notice of re-delivery,,"$14,300.00 ", $-   ,1.25%,0.75%,Alligator Tanker Ltd.,STI Chartering and Trading Ltd.,
DENSA CROCODILE,9692478,LR2,15-Jun-17,,FIRM,,,6,30,06-Jul-17,06-Jan-18,45,-43378,07-Dec-17,05-Feb-18,22-Nov-17,04-Jan-18,"​DLOSP One Safe port AG-Japan range UKC, MED, USG, Caribs, USAC",​30/20/15/10/7 days approximate notice of re-delivery and 5/3/2/1 days definite notice,,"$14,750.00 ","$2,500.00 ",1.25%,0.75%,​Crocodile Tanker Ltd,​STI Chartering & Trading Ltd,
DENSA CROCODILE,9692478,LR2,15-Jun-17,,FIRM,,,6,30,06-Jan-18,06-Jun-18,45,-166,07-May-18,06-Jul-18,22-Apr-18,07-Jul-18,"​DLOSP One Safe port AG-Japan range UKC, MED, USG, Caribs, USAC",​30/20/15/10/7 days approximate notice of re-delivery and 5/3/2/1 days definite notice,,"$15,750.00 ","$2,500.00 ",1.25%,0.75%,​Crocodile Tanker Ltd,​STI Chartering & Trading Ltd,
DENSA CROCODILE,9692478,LR2,15-Jun-17,,FIRM -EXT,,,6,30,06-Jun-18,06-Dec-18,45,17,06-Nov-18,05-Jan-19,22-Oct-18,05-Dec-18,"​DLOSP One Safe port AG-Japan range UKC, MED, USG, Caribs, USAC",​30/20/15/10/7 days approximate notice of re-delivery and 5/3/2/1 days definite notice,,"$14,800.00 ", $-   ,1.25%,0.75%,​Crocodile Tanker Ltd,​STI Chartering & Trading Ltd,
