Name,ListName,IMO NO,MMSI
ACAMAR,Scorpio - Handy,9587817,226019000
ASTERION,Scorpio - Handy,9595125,226000000
ATLANTIC JUPITER,Scorpio - Handy,9383962,477201400
ATRIA,Scorpio - Handy,9595137,226099000
CONTI BENGUELA,Scorpio - Handy,9391373,636091569
CONTI EQUATOR,Scorpio - Handy,9391385,636091604
CONTI GREENLAND,Scorpio - Handy,9391397,636091621
CPO ENGLAND,Scorpio - Handy,9353149,235060252
CPO FINLAND,Scorpio - Handy,9353101,235060248
CPO FRANCE,Scorpio - Handy,9347308,235060233
CPO GERMANY,Scorpio - Handy,9353096,235060255
CPO ITALY,Scorpio - Handy,9353137,235060251
CPO NORWAY,Scorpio - Handy,9353113,235060247
CPO RUSSIA,Scorpio - Handy,9353125,235060249
CPO SWEDEN,Scorpio - Handy,9353084,235060253
DUKHAN,Scorpio - Handy,9251286,466217000
JINAN,Scorpio - Handy,9239654,466213000
KRASLAVA,Scorpio - Handy,9314844,538002755
KRISJANIS VALDEMARS,Scorpio - Handy,9314870,538002757
SILENT,Scorpio - Handy,9377652,538090514
SINGLE,Scorpio - Handy,9377664,538090513
SKY,Scorpio - Handy,9380350,538090511
STAR I,Scorpio - Handy,9376945,538090509
STEEL,Scorpio - Handy,9380594,538090510
STI ACTON,Scorpio - Handy,9696553,538005405
STI BATTERSEA,Scorpio - Handy,9691723,538005403
STI BRIXTON,Scorpio - Handy,9686869,538005399
STI CAMDEN,Scorpio - Handy,9688386,538005402
STI CLAPHAM,Scorpio - Handy,9696577,538005407
STI COMANDANTE,Scorpio - Handy,9686857,538005397
STI FINCHLEY,Scorpio - Handy,9696565,538005406
STI FULHAM,Scorpio - Handy,9688374,538005400
STI HACKNEY,Scorpio - Handy,9686883,538005401
STI HAMMERSMITH,Scorpio - Handy,9706463,538005410
STI ROTHERHITHE,Scorpio - Handy,9706475,538005409
STI WEMBLEY,Scorpio - Handy,9691735,538005404
STONE I,Scorpio - Handy,9380582,538090508
STYLE,Scorpio - Handy, 9380570, 538090512
DUKHAN,Scorpio - Handy,9251286,466217000
TORM TEVERE,Torm - Handy,9302126,220556000
TORM SAONE,Torm - Handy,9295323,220570000
TORM OHIO,Torm - Handy,9234678,220562000
TORM LOIRE,Torm - Handy,9282986,220552000
TORM GYDA,Torm - Handy,9425502,220638000
TORM GARONNE,Torm - Handy,9288930,220567000
TORM CHARENTE,Torm - Handy,9230854,220569000
CIELO DI SALERNO,D'Amico - Handy,9717292,249775000
CIELO DI HANOI,D'Amico - Handy,9717280,636017451
CIELO DI CAPRI,D'Amico - Handy,9717278,249435000
CIELO DI ULSAN,D'Amico - Handy,9717266,256902000
CIELO DI GAETA,D'Amico - Handy,9669653,229632000
CIELO DI NEW YORK,D'Amico - Handy,9669665,229631000
CIELO DI GUANGZHOU,D'Amico - Handy,9341512,253131000
SW CAP FERRAT I,D'Amico - Handy,9231614,374419000
PORT STEWART,D'Amico - Handy,9251456,538090300
NORIENT SOLAR,Norient - Handy,9396373,636092756
NORIENT SCORPIUS,Norient - Handy,9436678,636092773
NORIENT SATURN,Norient - Handy,9394040,636092659
NORD FARER,Norient - Handy, 9293947, 657162000
NORD GERANIUM,Norient - Handy,9670937,219512000
NORD GARDENIA,Norient - Handy,9670949,219511000
NORD BELL,Norient - Handy,9309980,220513000
NORD NIGHTINGALE,Norient - Handy,9376816,564365000
NORD SNOW QUEEN,Norient - Handy,9376828,564359000
NORD BUTTERFLY,Norient - Handy,9448310,220617000
NORD SWAN,Norient - Handy,9448322,564637000
BALTIC COMMANDER I,Norient - Handy,9208112,636092648
